,AllInsects,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
501,2.80E-04,0.918,0.90576,1.40E-01,0.6060039,0.6060039,0.3385
502,2.42E-04,0.916,0.89068,1.38E-01,0.617328442,0.617328443,0.3548
503,2.08E-04,0.914,0.87472,1.36E-01,0.62869116,0.62869116,0.3717
504,1.79E-04,0.912,0.85784,1.34E-01,0.640083638,0.640083638,0.3893
505,1.53E-04,0.91,0.84,1.32E-01,0.651497125,0.651497125,0.4073
506,1.31E-04,0.908,0.81488,1.31E-01,0.662922534,0.662922534,0.4256
507,1.12E-04,0.906,0.78904,1.29E-01,0.674350448,0.674350448,0.4443
508,9.54E-05,0.904,0.76276,1.27E-01,0.685771124,0.685771124,0.4635
509,8.12E-05,0.902,0.73632,1.26E-01,0.697174501,0.697174501,0.483
510,6.90E-05,0.9,0.71,1.24E-01,0.708550202,0.708550202,0.503
511,5.85E-05,0.898,0.6872,1.23E-01,0.71988755,0.71988755,0.5237
512,4.96E-05,0.896,0.6648,1.22E-01,0.73117557,0.73117557,0.5447
513,4.19E-05,0.894,0.6428,1.20E-01,0.742403004,0.742403004,0.5658
514,3.53E-05,0.892,0.6212,1.19E-01,0.75355832,0.75355832,0.587
515,2.98E-05,0.89,0.6,1.18E-01,0.764629725,0.764629725,0.6082
516,2.50E-05,0.88784,0.58184,1.17E-01,0.775605182,0.775605182,0.6293
517,2.10E-05,0.88572,0.56392,1.16E-01,0.78647242,0.78647242,0.6502
518,1.76E-05,0.88368,0.54608,1.15E-01,0.797218953,0.797218953,0.6707
519,1.47E-05,0.88176,0.52816,1.14E-01,0.807832099,0.807832099,0.6906
520,1.22E-05,0.88,0.51,1.13E-01,0.818298995,0.818298995,0.71
521,1.02E-05,0.87976,0.48832,1.12E-01,0.82860662,0.82860662,0.728
522,8.48E-06,0.87968,0.46636,1.11E-01,0.838741812,0.838741812,0.7453
523,7.03E-06,0.87972,0.44424,1.10E-01,0.848691294,0.848691294,0.7619
524,5.82E-06,0.87984,0.42208,1.10E-01,0.858441697,0.858441697,0.7778
525,4.81E-06,0.88,0.4,1.09E-01,0.86797958,0.86797958,0.7932
526,3.97E-06,0.88,0.3796,1.08E-01,0.877291461,0.877291461,0.8082
527,3.27E-06,0.88,0.3594,1.08E-01,0.886363837,0.886363837,0.8225
528,2.69E-06,0.88,0.3394,1.07E-01,0.895183216,0.895183216,0.8363
529,2.20E-06,0.88,0.3196,1.07E-01,0.903736145,0.903736145,0.8495
530,1.80E-06,0.88,0.3,1.06E-01,0.912009235,0.912009235,0.862
531,1.47E-06,0.88,0.28128,1.06E-01,0.919989195,0.919989195,0.8738
532,1.20E-06,0.88,0.26284,1.05E-01,0.927662858,0.927662858,0.8849
533,9.78E-07,0.88,0.24476,1.05E-01,0.935017218,0.935017218,0.8955
534,7.94E-07,0.88,0.22712,1.04E-01,0.942039455,0.942039455,0.9054
535,6.44E-07,0.88,0.21,1.04E-01,0.948716972,0.948716972,0.9149
536,5.21E-07,0.88,0.19872,1.04E-01,0.955037422,0.955037422,0.9237
537,4.20E-07,0.88,0.18756,1.03E-01,0.960988748,0.960988748,0.9321
538,3.39E-07,0.88,0.17604,1.03E-01,0.966559209,0.966559209,0.9399
